SMILES,CLASS
CN(C)CCOC1(c2ccccc2)CC2CCC1(C)C2(C)C,0
CN(C)CC#Cc1cccnc1,0
Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,1
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,0
SCc1ccc(-c2cccnc2)o1,1
O=c1cc(-c2ccc(C(F)(F)F)cc2)ccn1-c1ccc2c(cnn2CCN2CCCC2)c1,0
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,0
O=C(C1CCCCC1)N1CCC(C(O)CC2c3ccccc3-c3cncn32)CC1,0
CC(C)(c1ccccc1)N1CCCCC1,1
N#Cc1cc(F)cc(Oc2ccc3c(c2C(F)F)[C@@H](O)C(F)(F)S3(=O)=O)c1,0
NCC#Cc1cccnc1,0
O=C(c1ccncc1)c1ccc(Cl)cc1,1
CCCc1ccncc1C#CCN,1
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,0
O[C@H](C[C@H]1c2c(F)cccc2-c2cncn21)[C@H]1CC[C@H](O)CC1,0
NCc1ccc(-c2cnccc2-c2cccnc2)s1,1
COc1ccc2[nH]c(SCc3ccc(Cl)cc3)nc2c1,1
OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,0
CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,1
CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,0
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,1
Cc1ccc(-c2ncn(-c3ccc(Nc4nccc(-c5cccc(N6CCOCC6)c5)n4)cc3)n2)cn1,0
COC(=O)C(c1ccccc1Cl)N1CCc2sccc2C1,1
CCCCCCCCC[C@H](O)CC(=O)CCc1ccc(O)c(OC)c1,1
CCOC(=O)C(CCc1ccccc1)NC1CCc2ccccc2N(CC(=O)O)C1=O,0
CCCCSc1nc2cc(OC)ccc2[nH]1,0
CN(C)Cc1ccc(-c2cccnc2)o1,0
NCc1ccc(-c2cnccc2-c2ccccc2)o1,1
CCCCCCCCCCCC(=O)OCC(CCP(=O)(O)OCCNC(=O)c1ccc(Cn2c(=O)[nH]c3c(N)nc(OCCOC)nc32)cc1)OC(=O)CCCCCCCCCCC,0
CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,0
CCCCC/C=C/C(=O)CCc1ccc(O)c(OC)c1,1
CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3CC12,0
CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)C(C(=O)O)C(C)C,0
CCCC(C)(COC(N)=O)COC(=O)NC(C)C,0
C#CCOc1cc(C(=O)Nc2c(Cl)cncc2Cl)ccc1OC,1
Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,1
Oc1ccc(Cc2ccccc2)cc1,1
CC(C)c1cc(/C=C2\CC/C(=C\c3cc(C(C)C)c(O)c(C(C)C)c3)C2=O)cc(C(C)C)c1O,0
COC(=O)C(c1ccccc1)C1CCCCN1,0
Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,0
COc1ccc2[nH]c(SCc3ccc(Br)cc3)nc2c1,1
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,0
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,0
Cc1nn(C)cc1S(=O)(=O)NC(=O)c1ccc(-n2ccc(OCC(C)(C)C(F)(F)F)n2)nc1N1C[C@@H](C)CC1(C)C,1
N#Cc1ccc(Cn2ccc(NC(=O)Cc3ccc(C4(C(F)(F)F)CC4)cc3)n2)nc1,0
CS(=O)(=O)c1nn(Cc2nc3cc(Cl)ccc3n2CC2COC2)c2cnccc12,0
COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC,0
Fc1ccc(-c2ccsc2)cn1,0
CNCCC(Oc1ccccc1C)c1ccccc1,0
CCCCc1ccccc1,0
O=C(Nc1nc2ccc(O)cc2s1)c1c(F)ccc(O)c1F,0
CCCCCCCCCc1ccc(O)cc1,1
CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C21,0
O=C(O)c1ccc(Sc2ccc(CN3CCC(N4C(=O)N(C5CCOCC5)C[C@H]4c4ccccc4)CC3)cn2)cc1,0
CC(C)Cc1ccc(C(C)C(=O)O)cc1,0
O=C(O)c1cccnc1,0
O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O,0
COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1,0
COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,1
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0
c1ccc(C2(N3CCCCC3)CCCCC2)cc1,1
C[n+]1c[nH]cc1-c1cccnc1,0
Cc1cc2ccccc2cn1,0
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,0
CC(=O)N1CCC(C(O)CC2c3ccccc3-c3cncn32)CC1,0
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,0
NCc1ccc(-c2cccnc2)s1,0
CC1c2cccc(C(N)=O)c2C(=O)N1C1CCN(C2CCCCC2)CC1,1
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,1
CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,1
COc1cc(/C=C2\CC/C(=C\c3cc(OC)c(O)c(OC)c3)C2=O)cc(OC)c1O,0
COCCc1ccc(OCC(O)CNC(C)C)cc1,0
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,0
CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,0
COC(=O)NS(=O)(=O)c1sc(CC(C)C)cc1-c1cccc(C(=O)Cn2ccnc2C(C)(C)C)c1,0
CNc1ccc(-c2cccnc2)s1,1
CCC(=O)OC(OP(=O)(CCCCc1ccccc1)CC(=O)N1CC(C2CCCCC2)CC1C(=O)O)C(C)C,0
COc1ccc2[nH]c(SCc3ccc(I)cc3)nc2c1,1
NCCCC(O)(P(=O)(O)O)P(=O)(O)O,0
O=Cc1ccc(O)c(O)c1,0
CCCCCOC(=O)Nc1nc(=O)n(C2OC(C)C(O)C2O)cc1F,1
Cc1ccc(C(=O)c2nc3ccc(O)cc3s2)cc1O,0
Cc1c(-c2cn(C(C)C)c(=O)c3ccccc23)c2cc(F)ccc2n1CC(=O)O,0
COc1cc(C(=O)N2CCC3(CC2)CC(=O)c2c(cnn2C(C)C)C3)cc(-c2ccc(C(=O)O)cc2)n1,0
COc1ccc2[nH]c(SCC3CC3)nc2c1,0
N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(O)(CC(O)(C3)C1)C2,0
C=C1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12,0
CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,0
CCC1=CC2CN(C1)Cc1c([nH]c3ccccc13)C(C(=O)OC)(c1cc3c(cc1OC)N(C)C1C(O)(C(=O)OC)C(OC(C)=O)C4(CC)C=CCN5CCC31C54)C2,0
OC(CC1c2c(Cl)cccc2-c2cncn21)C1CCCCC1,1
COc1ccc2c3c1OC1C(=O)CCC4C(C2)N(C)CCC314,0
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,0
COc1cccc(C2(O)CCCCC2CN(C)C)c1,0
CC(C)(O)c1ccccc1CCC(SCC1(CC(=O)O)CC1)c1cccc(C=Cc2ccc3ccc(Cl)cc3n2)c1,1
CCSc1nc2cc(OC)ccc2[nH]1,1
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,0
OC(CC1c2ccccc2-c2cncn21)C1CCCCC1,1
CC(N)Cc1ccccc1,0
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC,0
NCCCc1cccnc1,0
CCCCCC1CCCC(=O)O1,0
CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,0
Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,0
CCc1nc(Oc2ccc(C(=O)O)cc2)ccc1CN1CCC(N2C(=O)N(C3CCOCC3)C[C@H]2c2ccccc2)CC1,0
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,0
c1cncc(-c2ccsc2)c1,0
